lp,Temp,CaO,MgO,SiO2,Fe_total,MnO,Al2O3,TiO2,V2O5
4.187126296,1680,47.4,10.55,12.7,14.8,3.77,1.78,1.07,2.141
4.641984159,1620,47,10.59,11.1,19,3.12,1.68,0.87,1.811
4.2603297,1654,49.2,9.61,11.9,15.1,2.91,1.78,0.9,1.922
3.912023005,1697,48,9.1,13.9,14.4,3.72,1.66,1.16,2.288
4.49980967,1632,48.4,9.67,11.9,15.3,3.27,1.72,0.98,2.199
4.129435882,1689,46.8,9.85,14.3,14,4.15,1.75,1.14,2.344
4.21497255,1657,47.3,10.25,14.3,14.8,4.03,1.63,1.11,2.185
3.478584045,1670,50.2,8.78,13.6,13.1,3.9,1.71,1.08,2.571
4.509860006,1626,45.6,9.34,13.1,15.5,4.49,1.71,1.09,2.64
3.892791644,1641,47.6,8.84,13.6,15.2,4.36,1.57,1.19,2.792
4.23542316,1626,46.9,11.75,11.3,16.3,3.85,1.2,0.86,2.072
4.037186148,1633,43.9,8.77,13.4,19,4.43,1.56,1.14,2.292
4.140864578,1676,46.6,9.96,14.3,14.2,4.2,1.79,1.14,2.387
4.469038012,1665,44.4,8.96,14.6,16.1,4.7,1.97,1.24,2.622
4.270235229,1636,41.3,10.02,11.7,20.1,4.66,1.53,0.94,2.404
4.910551836,1636,40.4,8.89,12.5,20.3,4.9,1.73,1.11,2.597
4.669708707,1632,41.3,9.82,12.4,17.6,4.97,2.48,1.12,2.657
4.605170186,1658,45.7,9.43,12.6,13.8,4.08,2.14,1.15,2.705
3.943113592,1673,50,8.39,12.7,14.4,3.87,1.85,1.11,2.568
4.878463521,1647,47.7,10.52,13.5,12.2,4.06,2.02,1.22,2.656
4.369447852,1655,46.3,9.23,12,18,3.77,1.6,1.04,2.061
3.490428515,1670,47.2,10.23,15.2,13.7,3.91,2.15,1.15,2.199
3.69969037,1659,53.3,8.36,15.6,8.6,3.5,3.65,1.45,2.954
4.690327994,1625,44.9,7.84,11.7,17.6,4.25,2.29,1.11,2.654
4.48738715,1669,43.2,8.85,12.5,20.3,3.96,1.78,0.95,2.121
4.372364724,1645,42.7,10.44,12.9,15,4.76,2.15,1.3,2.774
4.637960009,1618,39.7,8.95,12,20.5,4.76,1.91,1.23,2.578
4.046942323,1651,45.6,8.8,13.9,14.3,4.39,1.97,1.17,2.775
4.834011758,1641,44.7,9.59,11,18.8,4.18,1.87,1.14,2.43
4.382026635,1670,45.4,8.05,11.3,17.6,4.66,1.82,1.12,2.752
4.734003058,1616,37.3,8.71,11.5,22.7,4.7,1.86,0.88,2.475
4.577518655,1648,44.5,9,11.3,15.6,4.75,2.04,1.02,2.998
4.690327994,1647,46.3,7.92,10.7,17.3,4.26,1.77,1.04,2.627
4.226272105,1656,47.5,7.05,9,19,3.95,1.4,0.8,2.337
4.711779921,1642,46.1,7.53,9.8,19.1,4.36,1.83,0.96,2.374
4.576182649,1655,41.5,6.6,9.6,23.7,3.79,1.89,0.78,1.743
4.437289313,1647,49.12,7.94,11.39,16.61,4.11,1.52,1.03,2.33
4.81102224,1634,42.41,8.06,11.99,19.44,4.32,1.91,0.99,2.24
4.449165938,1639,43.91,10.72,10.3,19.04,4.26,1.76,0.84,1.9
4.524201123,1654,43.32,7.79,11.94,20,3.95,2.59,0.96,1.99
4.700480366,1643,40.98,8.81,9.79,23.86,3.9,1.74,0.87,1.85
4.665794808,1631,47.3,11.36,12.7,15.3,4.06,1.96,0.97,2.246
4.237445406,1649,52.4,8.9,12.8,11.2,3.71,2.31,1.09,2.511
4.738701579,1642,46,9.66,11.2,19.1,4.06,1.71,0.99,2.154
4.48863637,1648,42.3,9.19,12.6,17.8,4.29,2.83,1.01,2.358
4.001971242,1670,42.6,7.93,12.6,18.9,4.49,1.82,1.05,2.395
4.536177315,1645,48.2,10.15,10.7,16.3,3.6,1.61,0.88,2.253
4.422848629,1665,46.3,10.79,12.2,16.5,3.79,1.41,0.86,1.988
4.617592706,1634,39.1,9.14,10.4,25,4.37,1.38,0.9,2.142
4.447984602,1641,44.7,11.67,11.5,16,4.55,1.75,0.94,2.385
4.02023659,1651,51.9,12.65,10.9,12,3.85,1.47,1.01,2.181
4.360973225,1645,50,9.6,12.9,12.3,4.21,2.19,1.19,2.651
3.983118927,1650,52.1,8.67,14.1,10.8,3.71,2.35,1.2,2.859
4.637960009,1623,40.7,10.96,11.3,19.5,4.8,1.37,1.12,2.674
3.723970774,1628,49.1,9.81,10.9,16.2,3.6,1.51,0.88,2.294
3.946708563,1647,49.1,9.48,12,13.6,3.96,2.93,1.14,2.551
4.690327994,1637,41.3,8.36,12.3,19.2,4.95,2.02,1.11,2.592
3.951243719,1649,39.5,8.71,13.5,20.3,4.68,2,1.25,2.09
4.180286992,1649,46.8,10.77,11.7,15.7,4.08,1.88,1.1,2.376
4.017383521,1656,50.5,8.11,13.5,12.1,3.99,2.33,1.16,2.726
3.651139126,1651,49.6,9.11,15.8,9.7,4.6,2.38,1.29,3.099
3.581459205,1648,55.5,11.46,15,11,3.56,1.98,1.24,2.541
4.180286992,1649,49.2,9.38,12.8,15.1,3.28,1.53,1.01,1.915
3.484578991,1643,42.5,9.96,14.1,7.7,2.73,1.26,1.11,2.019
4.402645922,1656,47.2,8.88,12.8,15.7,4.26,1.66,0.98,2.505
4.471638793,1655,48.9,7.15,12,15.2,4.7,1.61,1.09,2.778
4.391596086,1627,45.6,9.61,15.7,13,5.01,1.43,1.29,2.683
4.259424313,1634,42.2,8.77,15.1,16.5,5.05,1.9,1.43,2.457
4.65396035,1623,39.5,9.39,12.9,20.9,4.74,1.84,1.11,2.147
4.465908119,1632,43.1,8.63,14.2,18,4.69,1.83,1.29,2.263
3.899444223,1677,46.2,9.94,13.8,15.6,4.22,1.52,1.23,2.141
4.540631665,1628,36.4,8.61,10.4,25.8,4.02,2.22,0.98,2.016
3.969181419,1669,49.4,9.71,15.3,11,3.87,1.99,1.42,2.629
4.447984602,1647,43,9.87,12.5,17.4,4.72,2.15,1.15,2.413
4.32853795,1658,40.6,10.34,11.8,19,4.73,2.36,1.1,2.426
3.401197382,1659,34.8,11.17,14.4,21.2,4.78,2.06,1.21,2.086
4.301983927,1653,42.6,9.33,14.7,16.2,4.75,1.88,1.19,2.417
3.984343667,1657,45.9,10.42,15.9,13,4.79,1.73,1.16,2.174
4.310053135,1687,42,9.44,10.2,22.1,3.97,1.49,0.78,1.748
4.040855877,1677,42.3,8.61,15.3,16.6,4.99,1.91,1.4,2.436
4.064491599,1660,43.7,9.45,14,16.4,4.82,1.46,1.18,2.466
4.238925791,1630,37.5,11.39,13.5,17.3,5.97,2.18,1.23,2.585
3.944812828,1649,37,8.74,10.7,18.6,5.32,1.86,1.14,2.311
4.114963849,1647,44.9,9.85,13.4,14.2,4.78,1.56,1.18,2.448
4.58269733,1628,38.6,7.79,12.6,21.7,4.98,2.24,1.09,2.209
4.48738715,1661,45.6,9.78,13.2,17,3.72,1.51,0.94,1.711
4.615120517,1641,43.2,9.32,13.3,18.2,4.81,1.66,1.08,2.333
4.564348191,1650,43.4,8.54,12.6,17.6,4.9,1.91,1.04,2.364
4.738701579,1643,38.9,8.11,11,23.9,3.78,1.49,0.67,1.697
4.586821047,1644,43.2,7.47,13.1,18.4,4.97,1.2,1.15,2.712
